"host_group","species_common_name","species_scientific_name","response_definition"
"corvid assemblage","Red-billed Blue Magpie","Urocissa erythroryncha","Effort-confirmed day positive when any group member had a retained acoustic record"
"corvid assemblage","Azure-winged Magpie","Cyanopica cyanus","Effort-confirmed day positive when any group member had a retained acoustic record"
"corvid assemblage","Oriental Magpie","Pica serica","Effort-confirmed day positive when any group member had a retained acoustic record"
"corvid assemblage","Large-billed Crow","Corvus macrorhynchos","Effort-confirmed day positive when any group member had a retained acoustic record"
"sturnid assemblage","Black-collared Starling","Gracupica nigricollis","Effort-confirmed day positive when any group member had a retained acoustic record"
"sturnid assemblage","Common Myna","Acridotheres tristis","Effort-confirmed day positive when any group member had a retained acoustic record"
"sturnid assemblage","Crested Myna","Acridotheres cristatellus","Effort-confirmed day positive when any group member had a retained acoustic record"
"Masked Laughingthrush","Masked Laughingthrush","Pterorhinus perspicillatus","Effort-confirmed day positive when any group member had a retained acoustic record"
