"group_type","group_name","n_spatial_units","unit_total","unit_label","peak_week_from_posterior_mean","peak_week_posterior_mode","peak_week_mode_probability","median_annual_mean_psi","median_w10_w30_mean_psi","median_dawn_w15_w21_expected_positive_sampled_minutes","median_dawn_w15_w21_probability_at_least_one","q025_annual_mean_psi","q975_annual_mean_psi","q025_w10_w30_mean_psi","q975_w10_w30_mean_psi","q025_dawn_w15_w21_expected_positive_sampled_minutes","q975_dawn_w15_w21_expected_positive_sampled_minutes","q025_dawn_w15_w21_probability_at_least_one","q975_dawn_w15_w21_probability_at_least_one","posterior_draws","planning_domain"
"Functional zone","commercial",254,4608494.31717321,"overlap area m2",20,21,0.37,0.399812329323592,0.739110166647041,0.401928734373265,0.205326236521773,0.292153409453978,0.54736456616245,0.591361242648615,0.867908829192822,0.150352915731276,1.8171116103964,0.123973929904134,0.307854117638998,300,"Primary Results + Moderate Extrapolation"
"Functional zone","industrial",878,28784366.0726403,"overlap area m2",20,21,0.36,0.394610132796255,0.731346646348502,0.359769839849061,0.196323853492654,0.281438104094379,0.544128074005259,0.570797939453722,0.863339673781548,0.143610259571579,1.63178464261275,0.119313740111414,0.302311673219554,300,"Primary Results + Moderate Extrapolation"
"Functional zone","residential",1027,29232377.8004157,"overlap area m2",20,21,0.26,0.396173451082952,0.713659302462581,0.28823593833204,0.171851897527152,0.234717765477226,0.599010586729871,0.499016229877691,0.878902361549227,0.130847615397847,1.25889713215251,0.106041183376802,0.28080294743084,300,"Primary Results + Moderate Extrapolation"
"POI","Accommodation",47,53,"POI count",20,21,0.363333333333333,0.424737231603442,0.755210754575686,0.438419783080038,0.212093846606957,0.302673080529038,0.589452518454036,0.601314001271136,0.88428456706115,0.156876477504083,1.84920430615667,0.126987503557536,0.307249186471572,300,"Primary Results + Moderate Extrapolation"
"POI","Higher education",25,26,"POI count",20,19,0.266666666666667,0.378668319694131,0.6861369101973,0.226018656889292,0.153741283449027,0.202085221462446,0.595853510952672,0.444363327433473,0.866951663727532,0.113296831477944,0.955970121267331,0.0957777773622986,0.266821103507477,300,"Primary Results + Moderate Extrapolation"
"POI","Hospital",23,23,"POI count",20,19,0.27,0.379805630829818,0.696676003108024,0.304108703827601,0.176686305221578,0.23651666431588,0.560144816602227,0.505194665738517,0.860641338487113,0.134746613932761,1.35095840417766,0.106886636945643,0.285916411537334,300,"Primary Results + Moderate Extrapolation"
"POI","Other healthcare and care",18,18,"POI count",20,21,0.37,0.402851342510341,0.738531699438784,0.397329594669722,0.201416805843578,0.273557431049596,0.55986789228049,0.572548507685538,0.866717852021106,0.14980829973983,1.69537342710558,0.123487552244642,0.296141985417807,300,"Primary Results + Moderate Extrapolation"
"POI","Park and garden",278,374,"POI count",20,20,0.343333333333333,0.402327407713518,0.749780061024298,0.445052971126503,0.219877977164333,0.310231120286467,0.52276842834803,0.628095000400138,0.852274909803441,0.160045790070536,1.96002164796752,0.129049472560743,0.314414128723985,300,"Primary Results + Moderate Extrapolation"
"POI","School and childcare",221,269,"POI count",21,19,0.263333333333333,0.395247687031474,0.707392542228359,0.268717632504172,0.166633578044562,0.226485162649062,0.600850703037219,0.483695513624313,0.882269093562033,0.12480857374268,1.21069476772564,0.101653420586392,0.278960909599687,300,"Primary Results + Moderate Extrapolation"
